region,year,constr,vrp,prod_index,materials,act_dir,cpi
Санкт-Петербург,2020,113.2,4987.58,99.68,103.08333333333336,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.68,103.92000000000002,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.68,103.67333333333333,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.68,103.63499999999999,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.68,103.67083333333335,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.68,103.88833333333334,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.68,102.42166666666667,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.68,103.60916666666668,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.68,104.10083333333334,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.87,103.08333333333336,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.87,103.92000000000002,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.87,103.67333333333333,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.87,103.63499999999999,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.87,103.67083333333335,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.87,103.88833333333334,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.87,102.42166666666667,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.87,103.60916666666668,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.87,104.10083333333334,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.84,103.08333333333336,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.84,103.92000000000002,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.84,103.67333333333333,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.84,103.63499999999999,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.84,103.67083333333335,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.84,103.88833333333334,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.84,102.42166666666667,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.84,103.60916666666668,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.84,104.10083333333334,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.65,103.08333333333336,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.65,103.92000000000002,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.65,103.67333333333333,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.65,103.63499999999999,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.65,103.67083333333335,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.65,103.88833333333334,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.65,102.42166666666667,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.65,103.60916666666668,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.65,104.10083333333334,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.65,103.08333333333336,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.65,103.92000000000002,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.65,103.67333333333333,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.65,103.63499999999999,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.65,103.67083333333335,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.65,103.88833333333334,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.65,102.42166666666667,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.65,103.60916666666668,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.65,104.10083333333334,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.7,103.08333333333336,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.7,103.92000000000002,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.7,103.67333333333333,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.7,103.63499999999999,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.7,103.67083333333335,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.7,103.88833333333334,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.7,102.42166666666667,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.7,103.60916666666668,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.7,104.10083333333334,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.77,103.08333333333336,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.77,103.92000000000002,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.77,103.67333333333333,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.77,103.63499999999999,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.77,103.67083333333335,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.77,103.88833333333334,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.77,102.42166666666667,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.77,103.60916666666668,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.77,104.10083333333334,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.75,103.08333333333336,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.75,103.92000000000002,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.75,103.67333333333333,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.75,103.63499999999999,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.75,103.67083333333335,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.75,103.88833333333334,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.75,102.42166666666667,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.75,103.60916666666668,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.75,104.10083333333334,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.67,103.08333333333336,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.67,103.92000000000002,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.67,103.67333333333333,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.67,103.63499999999999,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.67,103.67083333333335,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.67,103.88833333333334,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.67,102.42166666666667,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.67,103.60916666666668,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.67,104.10083333333334,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.69,103.08333333333336,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.69,103.92000000000002,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.69,103.67333333333333,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.69,103.63499999999999,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.69,103.67083333333335,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.69,103.88833333333334,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.69,102.42166666666667,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.69,103.60916666666668,16.666666666666668,104.72
Санкт-Петербург,2020,113.2,4987.58,99.69,104.10083333333334,16.666666666666668,104.72
Республика Карелия,2021,113.92,715.65645,,102.10833333333333,20.0005,109.36
Республика Карелия,2021,113.92,715.65645,,104.65499999999999,20.0005,109.36
Республика Карелия,2021,113.92,715.65645,,104.4575,20.0005,109.36
Республика Карелия,2021,113.92,715.65645,,104.46916666666668,20.0005,109.36
Республика Карелия,2021,113.92,715.65645,,103.41500000000002,20.0005,109.36
Республика Карелия,2021,113.92,715.65645,,109.22499999999998,20.0005,109.36
Республика Карелия,2021,113.92,715.65645,,107.34916666666665,20.0005,109.36
Республика Карелия,2021,113.92,715.65645,,105.34083333333335,20.0005,109.36
Республика Карелия,2021,113.92,715.65645,,105.05083333333333,20.0005,109.36
Республика Коми,2021,124.38,1067.14363,,101.3125,16.666666666666668,107.45
Республика Коми,2021,124.38,1067.14363,,105.07666666666665,16.666666666666668,107.45
Республика Коми,2021,124.38,1067.14363,,104.98916666666668,16.666666666666668,107.45
Республика Коми,2021,124.38,1067.14363,,105.01166666666666,16.666666666666668,107.45
Республика Коми,2021,124.38,1067.14363,,104.14166666666665,16.666666666666668,107.45
Республика Коми,2021,124.38,1067.14363,,104.34249999999999,16.666666666666668,107.45
Республика Коми,2021,124.38,1067.14363,,103.50833333333333,16.666666666666668,107.45
Республика Коми,2021,124.38,1067.14363,,105.60333333333331,16.666666666666668,107.45
Республика Коми,2021,124.38,1067.14363,,104.83666666666666,16.666666666666668,107.45
Архангельская область,2021,112.14,582.08924,,105.35500000000002,,109.57
Архангельская область,2021,112.14,582.08924,,106.88916666666665,,109.57
Архангельская область,2021,112.14,582.08924,,105.68916666666667,,109.57
Архангельская область,2021,112.14,582.08924,,105.63833333333336,,109.57
Архангельская область,2021,112.14,582.08924,,106.22083333333335,,109.57
Архангельская область,2021,112.14,582.08924,,106.9875,,109.57
Архангельская область,2021,112.14,582.08924,,106.73416666666668,,109.57
Архангельская область,2021,112.14,582.08924,,105.97583333333334,,109.57
Архангельская область,2021,112.14,582.08924,,106.78333333333335,,109.57
Вологодская область,2021,119.37,595.90217,,100.79166666666669,16.66625,109.31
Вологодская область,2021,119.37,595.90217,,103.33416666666666,16.66625,109.31
Вологодская область,2021,119.37,595.90217,,104.13833333333334,16.66625,109.31
Вологодская область,2021,119.37,595.90217,,104.04333333333334,16.66625,109.31
Вологодская область,2021,119.37,595.90217,,102.89750000000002,16.66625,109.31
Вологодская область,2021,119.37,595.90217,,104.82999999999998,16.66625,109.31
Вологодская область,2021,119.37,595.90217,,105.56166666666668,16.66625,109.31
Вологодская область,2021,119.37,595.90217,,104.03416666666668,16.66625,109.31
Вологодская область,2021,119.37,595.90217,,103.60416666666667,16.66625,109.31
Калининградская область,2021,129.19,629.0112,,104.23333333333333,16.666666666666668,109.49
Калининградская область,2021,129.19,629.0112,,106.77250000000002,16.666666666666668,109.49
Калининградская область,2021,129.19,629.0112,,105.63083333333333,16.666666666666668,109.49
Калининградская область,2021,129.19,629.0112,,105.63333333333333,16.666666666666668,109.49
Калининградская область,2021,129.19,629.0112,,104.65916666666665,16.666666666666668,109.49
Калининградская область,2021,129.19,629.0112,,105.4825,16.666666666666668,109.49
Калининградская область,2021,129.19,629.0112,,104.87583333333333,16.666666666666668,109.49
Калининградская область,2021,129.19,629.0112,,105.40416666666665,16.666666666666668,109.49
Калининградская область,2021,129.19,629.0112,,105.84666666666665,16.666666666666668,109.49
Ленинградская область,2021,108.09,506.70617,,101.82416666666667,16.666666666666668,107.96
Ленинградская область,2021,108.09,506.70617,,102.26583333333333,16.666666666666668,107.96
Ленинградская область,2021,108.09,506.70617,,103.52749999999999,16.666666666666668,107.96
Ленинградская область,2021,108.09,506.70617,,103.53583333333331,16.666666666666668,107.96
Ленинградская область,2021,108.09,506.70617,,101.78583333333334,16.666666666666668,107.96
Ленинградская область,2021,108.09,506.70617,,102.0175,16.666666666666668,107.96
Ленинградская область,2021,108.09,506.70617,,102.38916666666665,16.666666666666668,107.96
Ленинградская область,2021,108.09,506.70617,,102.81333333333333,16.666666666666668,107.96
Ленинградская область,2021,108.09,506.70617,,102.03166666666668,16.666666666666668,107.96
Новгородская область,2021,108.89,621.03414,,103.80666666666666,16.666666666666668,107.42
